                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 0.8565,                0.46116,                 1.0191,                0.98284,                 0.9848,                0.98753,                0.76883,                    nan,                    nan,                    nan,             0.00051177,             0.00051177,             0.00051177
                     73,                0.84536,                 0.4454,                 1.0054,                0.98751,                0.97153,                0.98775,                0.76383,                    nan,                    nan,                    nan,             0.00049527,             0.00049527,             0.00049527
                     74,                0.85527,                0.45551,                 1.0134,                0.97715,                0.97089,                0.98752,                 0.7577,                    nan,                    nan,                    nan,             0.00047876,             0.00047876,             0.00047876
                     75,                0.83887,                0.44143,                 1.0038,                 0.9945,                 0.9733,                0.98789,                 0.7605,                    nan,                    nan,                    nan,             0.00046226,             0.00046226,             0.00046226
                     76,                0.81525,                0.44597,                 0.9974,                0.98424,                0.97624,                0.98649,                0.76253,                    nan,                    nan,                    nan,             0.00044576,             0.00044576,             0.00044576
                     77,                0.84358,                0.44183,                 1.0085,                0.99404,                0.97577,                0.98777,                0.76281,                    nan,                    nan,                    nan,             0.00042925,             0.00042925,             0.00042925
                     78,                0.84829,                0.44114,                 1.0135,                 0.9954,                0.97716,                0.98745,                0.76907,                    nan,                    nan,                    nan,             0.00041275,             0.00041275,             0.00041275
                     79,                0.82602,                0.43389,                 1.0027,                0.99144,                0.97924,                0.98721,                0.76438,                    nan,                    nan,                    nan,             0.00039625,             0.00039625,             0.00039625
                     80,                0.81509,                0.42966,                 1.0012,                0.98802,                 0.9658,                0.98662,                0.76462,                    nan,                    nan,                    nan,             0.00037974,             0.00037974,             0.00037974
                     81,                0.83094,                0.43945,                 1.0095,                0.98963,                0.98097,                0.98783,                0.76146,                    nan,                    nan,                    nan,             0.00036324,             0.00036324,             0.00036324
                     82,                0.81286,                0.42474,                0.99932,                0.98576,                 0.9712,                0.98603,                0.77164,                    nan,                    nan,                    nan,             0.00034674,             0.00034674,             0.00034674
                     83,                0.80704,                0.42598,                0.99958,                0.97779,                0.97052,                0.98587,                0.77008,                    nan,                    nan,                    nan,             0.00033023,             0.00033023,             0.00033023
                     84,                0.80644,                0.42889,                  1.003,                 0.9913,                0.97091,                0.98711,                0.76218,                    nan,                    nan,                    nan,             0.00031373,             0.00031373,             0.00031373
                     85,                 0.7925,                0.42353,                0.98877,                0.99452,                0.97924,                0.98739,                0.76249,                    nan,                    nan,                    nan,             0.00029723,             0.00029723,             0.00029723
                     86,                0.80743,                 0.4249,                 1.0053,                0.99256,                0.97699,                0.98704,                0.75862,                    nan,                    nan,                    nan,             0.00028072,             0.00028072,             0.00028072
                     87,                0.79986,                0.41612,                0.99907,                0.99657,                0.97924,                 0.9874,                 0.7665,                    nan,                    nan,                    nan,             0.00026422,             0.00026422,             0.00026422
                     88,                0.78317,                0.41685,                0.99347,                0.99132,                0.98033,                 0.9868,                0.76941,                    nan,                    nan,                    nan,             0.00024772,             0.00024772,             0.00024772
                     89,                0.79306,                0.41706,                 0.9966,                0.99008,                0.97716,                0.98665,                 0.7697,                    nan,                    nan,                    nan,             0.00023121,             0.00023121,             0.00023121
                     90,                0.78565,                0.41373,                0.98608,                0.99038,                0.97497,                0.98608,                0.76859,                    nan,                    nan,                    nan,             0.00021471,             0.00021471,             0.00021471
                     91,                0.68774,                0.32784,                0.94198,                0.98067,                0.97359,                0.98499,                0.75256,                    nan,                    nan,                    nan,             0.00019821,             0.00019821,             0.00019821
                     92,                0.67408,                0.31941,                 0.9399,                0.99325,                0.97486,                0.98738,                0.76936,                    nan,                    nan,                    nan,              0.0001817,              0.0001817,              0.0001817
                     93,                0.66699,                0.31679,                0.93483,                0.98953,                0.97556,                0.98642,                0.76792,                    nan,                    nan,                    nan,              0.0001652,              0.0001652,              0.0001652
                     94,                0.65799,                 0.3119,                0.92552,                0.99426,                0.97705,                0.98567,                0.77196,                    nan,                    nan,                    nan,              0.0001487,              0.0001487,              0.0001487
                     95,                0.65759,                0.31096,                0.92594,                0.99371,                0.97398,                0.98707,                0.76277,                    nan,                    nan,                    nan,             0.00013219,             0.00013219,             0.00013219
                     96,                 0.6543,                0.30792,                0.92567,                0.99348,                0.97646,                0.98756,                0.76974,                    nan,                    nan,                    nan,             0.00011569,             0.00011569,             0.00011569
                     97,                0.64461,                0.30848,                0.93343,                 0.9951,                0.97355,                 0.9873,                0.76989,                    nan,                    nan,                    nan,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.64517,                 0.3065,                  0.926,                0.99451,                0.97052,                0.98664,                0.76647,                    nan,                    nan,                    nan,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.64857,                0.30483,                0.92539,                0.99413,                0.97368,                0.98489,                0.77089,                    nan,                    nan,                    nan,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.64671,                0.30911,                0.92199,                0.99269,                0.97633,                0.98633,                0.76968,                    nan,                    nan,                    nan,             4.9677e-05,             4.9677e-05,             4.9677e-05
