                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.7964,                0.99296,                0.91751,                0.88608,                0.79762,                0.82944,                0.37081,                    nan,                    nan,                    nan,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.7556,                0.99733,                0.92026,                0.84674,                0.79762,                0.84036,                0.36228,                    nan,                    nan,                    nan,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.7664,                 0.9672,                0.91667,                0.93299,                0.81548,                0.87221,                0.37976,                    nan,                    nan,                    nan,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.8086,                0.99819,                0.92117,                0.94369,                0.83333,                 0.8784,                0.38625,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     53,                 1.7746,                0.97259,                0.92062,                0.94503,                0.80357,                0.88456,                 0.3818,                    nan,                    nan,                    nan,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.7513,                0.94625,                0.92178,                0.92328,                0.85119,                0.89233,                0.39731,                    nan,                    nan,                    nan,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.7321,                0.98084,                 0.9119,                0.88841,                0.80952,                0.86516,                0.39105,                    nan,                    nan,                    nan,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.7357,                0.95546,                 0.9058,                0.93214,                0.81769,                0.90104,                0.40762,                    nan,                    nan,                    nan,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.6951,                0.93188,                0.90365,                0.90208,                0.81548,                 0.8535,                 0.3742,                    nan,                    nan,                    nan,               0.000911,               0.000911,               0.000911
                     58,                  1.701,                0.90282,                0.91093,                0.91816,                0.80135,                0.85659,                 0.3916,                    nan,                    nan,                    nan,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.6958,                0.91371,                0.90589,                 0.9105,                0.81548,                0.85883,                0.37967,                    nan,                    nan,                    nan,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.7173,                0.91186,                0.89903,                0.87765,                0.85396,                0.87542,                0.39242,                    nan,                    nan,                    nan,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.6895,                0.90732,                0.89857,                0.91457,                0.81548,                0.88302,                0.40505,                    nan,                    nan,                    nan,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.6667,                0.91414,                0.90658,                0.94093,                0.83929,                0.90135,                0.40449,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     63,                 1.6515,                0.88495,                0.90377,                0.88191,                0.84458,                0.89026,                0.42793,                    nan,                    nan,                    nan,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.6395,                0.86999,                0.89911,                 0.9111,                0.85411,                0.89572,                0.41875,                    nan,                    nan,                    nan,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.6458,                0.89995,                0.89615,                0.92674,                0.82738,                0.90061,                0.43028,                    nan,                    nan,                    nan,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.6709,                0.90188,                0.89926,                0.94176,                  0.875,                0.90388,                0.43966,                    nan,                    nan,                    nan,              0.0007328,              0.0007328,              0.0007328
                     67,                  1.645,                0.88726,                0.88817,                0.94017,                0.84177,                0.88676,                0.42113,                    nan,                    nan,                    nan,               0.000713,               0.000713,               0.000713
                     68,                 1.5952,                  0.867,                0.89173,                0.93828,                0.85119,                0.90174,                0.44265,                    nan,                    nan,                    nan,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.5681,                0.84352,                0.88067,                0.95017,                0.85714,                0.91486,                0.43902,                    nan,                    nan,                    nan,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.5817,                0.83407,                0.89004,                 0.9597,                0.85056,                0.91346,                0.44184,                    nan,                    nan,                    nan,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.5793,                0.83462,                0.88325,                0.93316,                 0.8631,                0.89298,                0.44342,                    nan,                    nan,                    nan,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.5087,                0.77699,                0.87826,                 0.8953,                0.86529,                0.89404,                0.44177,                    nan,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                     73,                 1.5691,                0.80439,                0.88451,                0.93626,                 0.8744,                0.89617,                0.44875,                    nan,                    nan,                    nan,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.5572,                0.80788,                 0.8849,                0.94355,                0.82738,                0.89617,                0.43723,                    nan,                    nan,                    nan,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.5277,                0.80857,                0.88651,                0.95264,                0.83811,                 0.8961,                0.44039,                    nan,                    nan,                    nan,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.5464,                0.82216,                0.88942,                0.94143,                 0.8611,                0.91134,                0.45119,                    nan,                    nan,                    nan,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.4942,                0.79056,                0.87112,                0.93195,                0.88095,                0.92789,                0.44785,                    nan,                    nan,                    nan,               0.000515,               0.000515,               0.000515
                     78,                 1.5137,                0.81581,                0.88347,                0.93469,                0.85184,                0.90564,                0.44579,                    nan,                    nan,                    nan,              0.0004952,              0.0004952,              0.0004952
                     79,                  1.499,                0.78669,                0.87731,                0.91472,                0.83004,                0.87992,                0.43726,                    nan,                    nan,                    nan,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.4995,                0.80166,                0.87231,                0.95117,                0.85119,                0.90364,                0.44944,                    nan,                    nan,                    nan,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.5049,                0.77144,                0.87753,                0.95353,                 0.8631,                0.89979,                0.44458,                    nan,                    nan,                    nan,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.4577,                0.74608,                0.87677,                0.94117,                0.85714,                0.91025,                0.46486,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     83,                 1.5076,                0.78362,                 0.8768,                0.94246,                0.87739,                0.91469,                0.45002,                    nan,                    nan,                    nan,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.4708,                0.74734,                0.86635,                0.93667,                0.88044,                0.92096,                0.47314,                    nan,                    nan,                    nan,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.4317,                0.75517,                0.86021,                0.92244,                 0.8631,                0.91523,                0.46976,                    nan,                    nan,                    nan,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.4344,                0.74622,                0.86263,                0.94351,                0.89473,                0.92594,                0.47092,                    nan,                    nan,                    nan,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.4266,                 0.7292,                0.86511,                0.95417,                0.86754,                0.91541,                0.47531,                    nan,                    nan,                    nan,               0.000317,               0.000317,               0.000317
                     88,                 1.4208,                0.73301,                0.87252,                0.95432,                0.87058,                0.90569,                0.46641,                    nan,                    nan,                    nan,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.4395,                0.74444,                 0.8578,                0.94996,                0.86905,                0.91042,                0.45891,                    nan,                    nan,                    nan,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.4296,                0.73057,                0.86419,                0.96548,                  0.875,                0.92262,                0.47159,                    nan,                    nan,                    nan,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.3636,                0.68337,                0.86065,                0.95784,                 0.8631,                0.90855,                0.45564,                    nan,                    nan,                    nan,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.3254,                0.64582,                0.86654,                0.96467,                0.86905,                0.91159,                0.46431,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
                     93,                  1.333,                0.65743,                0.85219,                0.97149,                  0.875,                0.92763,                0.48212,                    nan,                    nan,                    nan,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.3048,                0.65335,                0.86347,                0.94924,                0.89043,                0.92528,                0.47123,                    nan,                    nan,                    nan,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.3032,                0.65099,                0.85758,                0.96682,                 0.8673,                0.91811,                0.47212,                    nan,                    nan,                    nan,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.2769,                  0.655,                0.84603,                0.93915,                  0.875,                0.92169,                0.47364,                    nan,                    nan,                    nan,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.2975,                0.62768,                0.84822,                0.94053,                 0.8869,                0.92197,                0.46295,                    nan,                    nan,                    nan,               0.000119,               0.000119,               0.000119
                     98,                 1.2959,                0.64634,                0.85239,                0.93511,                0.89881,                0.92007,                0.46679,                    nan,                    nan,                    nan,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.2597,                0.61574,                0.86058,                0.94298,                0.88594,                0.92059,                0.47066,                    nan,                    nan,                    nan,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.2644,                0.61924,                0.84953,                0.93725,                0.88908,                0.91927,                 0.4781,                    nan,                    nan,                    nan,               5.96e-05,               5.96e-05,               5.96e-05
